"rules","support","confidence","coverage","lift","count"
"1","{'HANGING'='60'} => {'HOLDER'='CASES'}",0.0106796639379578,0.999328069880732,0.0106868447508258,54.0924796469112,5949
"2","{'HOLDER'='CASES'} => {'HANGING'='60'}",0.0106796639379578,0.578077932173744,0.0184744363061899,54.0924796469112,5949
"3","{'HANGING'='60'} => {'HEART'='CAKE'}",0.0106796639379578,0.999328069880732,0.0106868447508258,37.9821034420281,5949
"4","{'WHITE'='PACK'} => {'T-LIGHT'='OF'}",0.0126956771506535,0.990892531876138,0.0128123653597587,26.6869784826323,7072
"5","{'HEART'='JUMBO'} => {'HANGING'='BAG'}",0.0184726411029729,0.914097894643333,0.0202086026138159,12.1830145048959,10290
"6","{'WHITE'='OF'} => {X6='SET'}",0.0109022691368663,0.625502111442991,0.0174296280338934,21.5159748152528,6073
"7","{'HOLDER'='CASES'} => {'HEART'='CAKE'}",0.0162555651299727,0.879895053930619,0.0184744363061899,33.4427361382036,9055
"8","{'HEART'='CAKE'} => {'HOLDER'='CASES'}",0.0162555651299727,0.617835698689956,0.026310498348413,33.4427361382036,9055
"9","{'T-LIGHT'='RETROSPOT'} => {'HOLDER'='RED'}",0.0200542151371535,0.662220641413243,0.0302832830676433,19.7010994495211,11171
"10","{'HOLDER'='RED'} => {'T-LIGHT'='RETROSPOT'}",0.0200542151371535,0.596613971373638,0.033613385035186,19.7010994495211,11171
"11","{'HANGING'='60','HOLDER'='CASES'} => {'HEART'='CAKE'}",0.0106796639379578,1,0.0106796639379578,38.0076419213974,5949
"12","{'HANGING'='60','HEART'='CAKE'} => {'HOLDER'='CASES'}",0.0106796639379578,1,0.0106796639379578,54.1288504518511,5949
"13","{'HEART'='CAKE','HOLDER'='CASES'} => {'HANGING'='60'}",0.0106796639379578,0.656985091109884,0.0162555651299727,61.476058315446,5949
"14","{'HOLDER'='RED','T-LIGHT'='RETROSPOT'} => {'HANGING'='BAG'}",0.0112756714060032,0.562259421716946,0.0200542151371535,7.49374299014732,6281
"15","{'HANGING'='BAG','T-LIGHT'='RETROSPOT'} => {'HOLDER'='RED'}",0.0112756714060032,1,0.0112756714060032,29.7500534073916,6281
"16","{'HANGING'='BAG','HOLDER'='RED'} => {'T-LIGHT'='RETROSPOT'}",0.0112756714060032,0.999840815027061,0.0112774666092202,33.016262232656,6281
